Paragraph Number,Content
1,Monday 22nd September Announcement:
3,Welcome to Introduction to Blockchain!
5,"We’re thrilled to have you join us on this exciting journey! This course will provide a hands-on overview of blockchain technology and decentralized applications from a developer’s perspective. From basic cryptography concepts and blockchain use cases to the latest technical developments, you’ll gain the skills and tools needed to pursue opportunities in this field."
7,Lectures Time and Location: Monday 6:00-6:50 pm at WANG-2599.
9,Grading Rubric:
10,Unannounced in-class Quizzes (40%)
11,Answering an in-class quiz when you’re not in the classroom is not a good idea :)
12,"If you miss a class, you have 2 unexcused absences that include everything from exams to sickness. If for some reason you miss more than 2 lectures, you will have extra credit opportunities to make up for it during the project."
13,Homework (30%)
14,Homeworks are released on Mondays at 8am.
15,They are due next Monday at 11:59 pm.
16,Final Group Project (30%)
17,More details will be released as the end of the semester approaches
18,"Extra credit: Available throughout the semester, TBA (20%)"
19,Assignments can be found and submitted under the “Assignments” tab on Brightspace. Weekly In-class quizzes will also be under the “Content” tab on Brightspace.
20,Office Hours
22,Shivam Rastogi (rastog18@purdue.edu) - 7:00 - 8:00 PM Mondays
23,"(In- Person, after class at WANG 2599)"
24,"Aditya Kattil (akuniyil@purdue.edu) - 5:00 - 6:00 PM Fridays (Weekly, on Zoom)"
25,Link: https://purdue-edu.zoom.us/j/6958521019
26,"Mugdha Patil (patil192@purdue.edu) - 5:00 - 6:00 PM Wednesdays (Weekly, on Zoom)"
27,Link:https://purdue-edu.zoom.us/j/97840500886?pwd=0g4DjO2jZBR5aPoEfM4Pgru0W6Se89.1
28,"Pranav Doshi (doshi59@purdue.edu) - 5:00 - 6:00 PM Tuesdays (Weekly, on Zoom)"
29,Link: https://purdue-edu.zoom.us/j/4947890579
30,"Garv Tayade (gtayade@purdue.edu) - 5:00 - 6:00 PM Thursdays (Weekly, on Zoom)"
31,"Please review the course syllabus and tentative course schedule in the course content section for more details about the course structure, topics, and policies."
32,"Best,"
33,Introduction to Blockchain Staff
34,Monday 22nd September After Class Announcement:
36,"Hey everyone,"
37,"The slides from today’s lecture have been posted and can be accessed under the Content -> Week 1 tab on Brightspace. If you have any questions, drop by during TA office hours. You can find the office hours Zoom links on the course syllabus."
38,"Best,
Introduction to Blockchain Staff"
40,Sunday 28th September Class Announcement:
42,Hey everyone!
43,"This is a gentle reminder about tomorrow's class, taking place from 6 PM to 7 PM in WANG 2599. We’ll be building on the concepts from the previous lecture by exploring the story behind the inception of blockchain and diving into the world of smart contracts!"
44,Hope to see you all there!
45,"Best,"
46,Introduction to Blockchain Staff
48,Monday 29th September After Class Announcement:
50,"Hey everyone,"
51,"The slides from today’s lecture have been posted and can be accessed under the Content -> Week 2 tab on Brightspace. If you have any questions, drop by during TA office hours. You can find the office hours Zoom links on the course syllabus."
52,"Best,
Introduction to Blockchain Staff"
58,Sunday 5th October Class Announcement:
60,Hey everyone! Quick heads-up about tomorrow’s class (6–7 PM in WANG 2599).
61,We’ll start with the basics of Solidity and help you set up the environment needed for Assignment 1. We’ll cover all material required for the assignment.
62,Assignment 1: Opens after class. The in-class walkthrough is needed to understand how to complete it.
63,Demo code: We’ll demo this in class—review beforehand if you can: https://docs.google.com/document/d/1sXN6RjIOhgw0rgIUUSSPGMrsoY-cVrOj1hWXZ_bOhmM/edit?usp=sharing
64,See you tomorrow!
66,Monday 6th October in-class Announcement:
68,"Hey everyone,"
70,Please join the zoom link below to view the presentation.
72,https://purdue-edu.zoom.us/j/6958521019
74,Monday 6th October after class Announcement:
76,"Hey everyone,"
77,"The slides from today’s lecture have been posted and can be accessed under the Content -> Week 3 tab on Brightspace.

Assignment 1 is now open and is due by next Monday (13th October, 11:59pm).

If you have any questions, drop by during TA office hours. You can find the office hours Zoom links on the course syllabus."
84,Sunday 19th October class Announcement:
86,Hey everyone!
87,"This is a gentle reminder about tomorrow's class, taking place from 6 PM to 7 PM in WANG 2599. We’ll be building on the concepts from the previous lecture by exploring the story behind the inception of blockchain and diving into the world of smart contracts!"
88,"Also, reminder that Homework 1 is due tomorrow. Make sure you all submit it by then."
89,Hope to see you all there!
90,"Best,"
91,Introduction to Blockchain Staff
93,Monday day 20th October after class Announcement:
95,"Hey everyone,"
96,"I hope you guys are enjoying learning about Blockchain. The slides from today’s lecture have been posted and can be accessed under the Content -> Week 5 tab on Brightspace. Homework 2 details have been assigned under the Course Tools -> Assignments tab on Brightspace, and it is due on Monday, 27 October (11:59 PM)."
97,"If you have any questions, drop by during TA office hours. You can find the office hours schedule and Zoom links in the syllabus."
98,"Best,
Introduction to Blockchain Staff"
100,Sunday day 26th October class Announcement:
102,Hey everyone!
103,"This is a gentle reminder about tomorrow's class, taking place from 6 PM to 7 PM in WANG 2599. We will be learning about tokens, stable coins, hardhat, smart contract, and more!"
104,"Also, reminder that Homework 2 is due next week Monday. The deadline has been extended to next week. Make sure you all submit it by then."
105,Hope to see you all there!
106,"Best,"
107,Introduction to Blockchain Staff
110,Sunday 26th October Solana Event Announcement:
111,"Solana Across Campuses - This Tuesday!

Date: Wednesday, October 29th
Time: 6:00 – 9:00 PM
Location: ME 1130

Hey everyone!
This Tuesday, College.xyz and Boiler Blockchain are hosting Solana Across Campuses, a nationwide university tour that’s stopping right here at Purdue!

Come hang out, enjoy free food & crypto giveaways, and learn how to:
- Set up your first Solana wallet
- Earn some SOL tokens
- See what students across the country are building on Solana

Scan the QR code on the poster to SIGN UP and join us at ME 1130. It’s open to all students, no prior blockchain experience needed!

See you there!!"
112,Attachment(s):
119,Sunday 2nd November class announcement:
121,Hey everyone!
122,"This is a gentle reminder about tomorrow's class, taking place from 6 PM to 7 PM in WANG 2599. We’ll be introducing Decentralized Exchanges (DEXs) and how they work!"
123,"Also, a reminder that Homework 3 is due tomorrow. Make sure you all submit it by then."
124,Hope to see you all there!
125,"Best,"
126,Introduction to Blockchain Staff
