Date,Content,Attachments
2022-01-10 13:33:03.405000-05:00, We @ Boiler Blockchain are excited to present Boiler Blockchain V2 for the Spring 22 semester!! INTRODUCE YOURSELF IN THE INTROS CHANNEL TO GET STARTED,
2022-01-23 23:46:56.831000-05:00," Hey, all! Here are the announcements for this week! **Recruitment** - Applications are now open until next Saturday! Multiple roles open! Apply at https://boilerblockchain.io/recruitment Builders - Do you want to BUIDL real blockchain projects? Do you want to get into web3? Join our team of builders: https://tripetto.app/run/LCLBKIFLIL **Callout Tuesday** - 01/25 6 pm B091. Come know more about Boiler Blockchain, talk to the team and get some food! You can also catch us @** B-Involved** on Saturday 12-3 pm Launching Crypto Cafe - 01/27 6pm @ Clubhouse_Stage. Show up to talk about the latest trends in crypto markets! If you are interested in NFTs, DeFi, GameFi, or you are just curious about the space join us for some great conversation!",https://cdn.discordapp.com/attachments/892451425039310913/935032906244583454/Crypto_Cafe.png?ex=68fbad80&is=68fa5c00&hm=c7d3dfbce7ab4e171ebd0922ba73b651e49797ebf47d0b95c48b90bc0ab68098&
2022-03-12 22:34:42.667000-05:00,"Hey ! We are partnering with NEAR protocol and the Blockchain Acceleration Foundation to launch a Rust Development series targeted towards building on NEAR. Boiler Blockchain will be leading some sessions along with HKU, Cambridge and other universities! All Purdue / Boiler Blockchain members can apply and participate for free! Pretty good opportunity to get into development! Click here to apply! Type : **""YES""** in Question 4, and **""Boiler Blockchain @ Purdue""** in Question 5 to get free access https://cambridgeblockchain.typeform.com/nearwebseries << Apply Here!",https://cdn.discordapp.com/attachments/892451425039310913/952409345042300958/NEAR_Web_Series.png?ex=68fb9c92&is=68fa4b12&hm=76d41f4ee9e63c472fd086cf2ea8943ff137a19d59227b299ac118bab7fc6877&
2022-03-21 19:58:25.898000-04:00,"Hey , it's the last week of classes and we are HYPE! Our final meetings of the semester will take place on Tuesday (in-person) and Thursday (virtually). Here's the rundown: **Tuesday (4/26) - Townhall Meeting at 6 pm in WALC B074** Come join for the last meeting of the year and learn what we have planned for the club over the summer. After the meeting, we will all head to PMU for bowling and networking. **Thursday (4/28) - Crypto Cafe with ** Our guest is a go-to-market consultant for technology firms by day, and an all around web3/DeFi degen by night. We'll talk about his experience helping build start-up tech firms, the crypto scene in NYC, and where he sees the world of crypto going. Questions and discussions highly encouraged!",
2022-08-25 12:22:46.939000-04:00,"Hey , WELCOME to new and returning students!! We have an exciting news for everyone. CALLOUTS are happening early next week. Here's the details: **Tuesday (8/30) - Callouts at 7pm in KRACH 230** Interested about blockchain, cryptocurrencies, NFTs, or haven't heard about them before and want to learn more??? Come and hear what BoilerBlockchain is about, meet current members, and learn how to apply to be a part of BoilerBlockchain. Food will be provided!!! Questions and discussions are highly encouraged!!! ***Applications are LIVEE*** Steps to apply: 1. Head to our Website https://boilerblockchain.io/ 2. Under Recruitment Tab 3. Apply Here *You can apply to more than 1 role*",
2022-08-29 13:50:19.742000-04:00,"MERCH available to pick up and purchase during callouts! if you ordered merch last semester and have not received them, come and collect them this Tuesday, 8/30 in Krach 230 from 630pm - 8pm There are also still a few more shirts, hoodies, and hats available - First come First serve basis!!! If you would like to place an order or have questions or concerns, feel free to pm myself or any other L1s.",
2022-09-07 17:05:42.060000-04:00,First Town-hall Meeting of the semester is TONIGHT @ 8:00PM at Krach Leadership Center in Room 230.,
2022-09-09 11:59:44.104000-04:00," who submitted an application, CHECK YOUR EMAIL to sign up for an interview time. You should have been emailed a Calendly link to sign-up with. Interviews are running through Sunday.",
2022-09-15 09:34:02.199000-04:00," Happy MERGE day!!! BoilerBlockchain has closed its applications and sent out emails to accepted applicants. Congratulations to those who have been accepted!!! There is a deadline to accept your position by Thursday, 9/15 at 5pm ~ today. A follow up email will be sent for next steps on your onboarding process. We are excited to introduce you to the BoilerBlockchain community. For those that did not receive an email, we implore you to still attend our general meetings which can be found in Events on the top left of the server. We hope that you continue to show interest and look forward to your applications next semester.",
2022-09-15 09:44:08.468000-04:00,"Hi !! Its Hello World Hackathon week! One of our main sponsors ~ Solana ~ will be doing an Intro to Development session. Come join us, hear from and interact with industry experts. Here is the link for the session tonight: https://solana-foundation.zoom.us/j/87486430567?pwd=RjRHVVFtUW9Tei9QSGtlbGZGRHc2UT09",https://cdn.discordapp.com/attachments/892451425039310913/1019966855416397914/unknown.png?ex=68fb82a8&is=68fa3128&hm=6b5bc38a92f320cb49a3d4074fbbad23d33aa813337cd0f7366ce043d1066860&
